[H2(g)](M),[O2(g)](M),[C(g)](M),[N2(g)](M),R_X(M/s),R_Y(M/s),R_Z(M/s),R_W(M/s),R_V(M/s),R_U(M/s)
1.00E-02,1.00E-02,1.00E-02,1.00E-02,1.10E-10,4.75E-05,8.43E-22,3.17E-41,6.74E-20,7.59E-33
1.00E-02,1.00E-02,1.00E-02,5.00E-02,1.11E-10,8.94E-05,1.89E-21,3.19E-41,1.02E-11,1.68E-32
1.00E-02,1.00E-02,1.00E-02,1.00E-01,1.09E-10,1.26E-04,2.67E-21,3.14E-41,1.02E-11,2.37E-32
1.00E-02,1.00E-02,1.00E-02,5.00E-01,1.09E-10,2.80E-04,5.93E-21,3.19E-41,1.02E-11,5.30E-32
1.00E-02,1.00E-02,1.00E-02,1.00E+00,1.10E-10,4.01E-04,8.44E-21,3.19E-41,9.88E-12,7.54E-32
1.00E-02,1.00E-02,1.00E-02,5.00E+00,1.11E-10,8.93E-04,1.89E-20,3.15E-41,9.80E-12,1.69E-31
1.00E-02,1.00E-02,5.00E-02,1.00E-02,2.73E-09,2.01E-04,2.64E-18,1.25E-35,2.51E-10,7.41E-26
1.00E-02,1.00E-02,5.00E-02,5.00E-02,2.74E-09,4.49E-04,5.90E-18,1.25E-35,2.48E-10,1.64E-25
1.00E-02,1.00E-02,5.00E-02,1.00E-01,2.76E-09,6.31E-04,8.31E-18,1.23E-35,2.53E-10,2.32E-25
1.00E-02,1.00E-02,5.00E-02,5.00E-01,2.76E-09,1.40E-03,1.85E-17,1.24E-35,2.54E-10,5.23E-25
1.00E-02,1.00E-02,5.00E-02,1.00E+00,2.76E-09,2.01E-03,2.63E-17,1.25E-35,2.47E-10,7.42E-25
1.00E-02,1.00E-02,5.00E-02,5.00E+00,2.74E-09,4.45E-03,5.87E-17,1.25E-35,2.51E-10,1.63E-24
1.00E-02,1.00E-02,1.00E-01,1.00E-02,1.10E-08,4.01E-04,8.47E-17,3.16E-33,9.86E-10,7.48E-23
1.00E-02,1.00E-02,1.00E-01,5.00E-02,1.11E-08,9.01E-04,1.87E-16,3.15E-33,1.02E-09,1.67E-22
1.00E-02,1.00E-02,1.00E-01,1.00E-01,1.10E-08,1.25E-03,2.68E-16,3.18E-33,9.91E-10,2.37E-22
1.00E-02,1.00E-02,1.00E-01,5.00E-01,1.09E-08,2.81E-03,5.88E-16,3.14E-33,9.90E-10,5.30E-22
1.00E-02,1.00E-02,1.00E-01,1.00E+00,1.11E-08,4.03E-03,8.43E-16,3.16E-33,1.01E-09,7.55E-22
1.00E-02,1.00E-02,1.00E-01,5.00E+00,1.11E-08,8.99E-03,1.87E-15,3.20E-33,1.01E-09,1.68E-21
1.00E-02,1.00E-02,5.00E-01,1.00E-02,2.73E-07,2.02E-03,2.63E-13,1.25E-27,2.48E-08,7.43E-16
1.00E-02,1.00E-02,5.00E-01,5.00E-02,2.74E-07,4.48E-03,5.81E-13,1.25E-27,2.51E-08,1.63E-15
1.00E-02,1.00E-02,5.00E-01,1.00E-01,2.75E-07,6.33E-03,8.28E-13,1.24E-27,2.53E-08,2.33E-15
1.00E-02,1.00E-02,5.00E-01,5.00E-01,2.77E-07,1.41E-02,1.87E-12,1.23E-27,2.48E-08,5.19E-15
1.00E-02,1.00E-02,5.00E-01,1.00E+00,2.77E-07,1.98E-02,2.65E-12,1.24E-27,2.47E-08,7.38E-15
1.00E-02,1.00E-02,5.00E-01,5.00E+00,2.73E-07,4.48E-02,5.89E-12,1.25E-27,2.53E-08,1.63E-14
1.00E-02,1.00E-02,1.00E+00,1.00E-02,1.10E-06,4.01E-03,8.40E-12,3.16E-25,9.83E-08,7.61E-13
1.00E-02,1.00E-02,1.00E+00,5.00E-02,1.09E-06,8.92E-03,1.88E-11,3.16E-25,9.86E-08,1.70E-12
1.00E-02,1.00E-02,1.00E+00,1.00E-01,1.10E-06,1.27E-02,2.66E-11,3.16E-25,9.95E-08,2.37E-12
1.00E-02,1.00E-02,1.00E+00,5.00E-01,1.09E-06,2.83E-02,5.92E-11,3.16E-25,1.01E-07,5.34E-12
1.00E-02,1.00E-02,1.00E+00,1.00E+00,1.10E-06,4.01E-02,8.44E-11,3.17E-25,1.01E-07,7.57E-12
1.00E-02,1.00E-02,1.00E+00,5.00E+00,1.09E-06,8.95E-02,1.88E-10,3.19E-25,9.87E-08,1.69E-11
1.00E-02,1.00E-02,5.00E+00,1.00E-02,2.73E-05,1.99E-02,2.62E-08,1.24E-19,2.52E-06,7.40E-06
1.00E-02,1.00E-02,5.00E+00,5.00E-02,2.77E-05,4.51E-02,5.92E-08,1.24E-19,2.47E-06,1.66E-05
1.00E-02,1.00E-02,5.00E+00,1.00E-01,2.75E-05,6.27E-02,8.23E-08,1.24E-19,2.54E-06,2.32E-05
1.00E-02,1.00E-02,5.00E+00,5.00E-01,2.77E-05,1.41E-01,1.84E-07,1.24E-19,2.47E-06,5.16E-05
1.00E-02,1.00E-02,5.00E+00,1.00E+00,2.78E-05,1.98E-01,2.62E-07,1.25E-19,2.53E-06,7.38E-05
1.00E-02,1.00E-02,5.00E+00,5.00E+00,2.76E-05,4.50E-01,5.90E-07,1.24E-19,2.49E-06,1.66E-04
1.00E-02,5.00E-02,1.00E-02,1.00E-02,5.52E-10,3.99E-05,1.86E-21,3.19E-41,4.95E-11,8.39E-32
1.00E-02,5.00E-02,1.00E-02,5.00E-02,5.53E-10,8.96E-05,4.17E-21,3.18E-41,4.93E-11,1.90E-31
1.00E-02,5.00E-02,1.00E-02,1.00E-01,5.49E-10,1.26E-04,5.93E-21,3.20E-41,5.08E-11,2.67E-31
1.00E-02,5.00E-02,1.00E-02,5.00E-01,5.48E-10,2.84E-04,1.32E-20,3.19E-41,5.02E-11,5.90E-31
1.00E-02,5.00E-02,1.00E-02,1.00E+00,5.47E-10,4.02E-04,1.86E-20,3.20E-41,4.96E-11,8.44E-31
1.00E-02,5.00E-02,1.00E-02,5.00E+00,5.47E-10,8.89E-04,4.20E-20,3.14E-41,4.91E-11,1.87E-30
1.00E-02,5.00E-02,5.00E-02,1.00E-02,1.39E-08,2.01E-04,5.81E-18,1.23E-35,1.24E-09,8.21E-25
1.00E-02,5.00E-02,5.00E-02,5.00E-02,1.37E-08,4.48E-04,1.32E-17,1.23E-35,1.25E-09,1.82E-24
1.00E-02,5.00E-02,5.00E-02,1.00E-01,1.38E-08,6.37E-04,1.85E-17,1.24E-35,1.24E-09,2.59E-24
1.00E-02,5.00E-02,5.00E-02,5.00E-01,1.37E-08,1.42E-03,4.14E-17,1.24E-35,1.27E-09,5.84E-24
1.00E-02,5.00E-02,5.00E-02,1.00E+00,1.37E-08,2.02E-03,5.81E-17,1.24E-35,1.24E-09,8.26E-24
1.00E-02,5.00E-02,5.00E-02,5.00E+00,1.38E-08,4.44E-03,1.31E-16,1.23E-35,1.24E-09,1.86E-23
1.00E-02,5.00E-02,1.00E-01,1.00E-02,5.52E-08,3.99E-04,1.88E-16,3.15E-33,4.95E-09,8.45E-22
1.00E-02,5.00E-02,1.00E-01,5.00E-02,5.56E-08,9.01E-04,4.20E-16,3.14E-33,5.02E-09,1.89E-21
1.00E-02,5.00E-02,1.00E-01,1.00E-01,5.55E-08,1.26E-03,5.99E-16,3.14E-33,5.04E-09,2.69E-21
1.00E-02,5.00E-02,1.00E-01,5.00E-01,5.56E-08,2.85E-03,1.32E-15,3.17E-33,5.02E-09,6.02E-21
1.00E-02,5.00E-02,1.00E-01,1.00E+00,5.49E-08,3.98E-03,1.87E-15,3.16E-33,4.91E-09,8.46E-21
1.00E-02,5.00E-02,1.00E-01,5.00E+00,5.48E-08,8.89E-03,4.17E-15,3.19E-33,4.96E-09,1.88E-20
1.00E-02,5.00E-02,5.00E-01,1.00E-02,1.38E-06,2.00E-03,5.83E-13,1.24E-27,1.24E-07,8.25E-15
1.00E-02,5.00E-02,5.00E-01,5.00E-02,1.38E-06,4.47E-03,1.32E-12,1.24E-27,1.24E-07,1.85E-14
1.00E-02,5.00E-02,5.00E-01,1.00E-01,1.37E-06,6.35E-03,1.86E-12,1.24E-27,1.24E-07,2.61E-14
1.00E-02,5.00E-02,5.00E-01,5.00E-01,1.36E-06,1.42E-02,4.14E-12,1.24E-27,1.28E-07,5.78E-14
1.00E-02,5.00E-02,5.00E-01,1.00E+00,1.37E-06,1.99E-02,5.91E-12,1.25E-27,1.23E-07,8.22E-14
1.00E-02,5.00E-02,5.00E-01,5.00E+00,1.37E-06,4.50E-02,1.32E-11,1.25E-27,1.27E-07,1.83E-13
1.00E-02,5.00E-02,1.00E+00,1.00E-02,5.53E-06,3.98E-03,1.87E-11,3.19E-25,4.99E-07,8.48E-12
1.00E-02,5.00E-02,1.00E+00,5.00E-02,5.48E-06,9.00E-03,4.17E-11,3.16E-25,5.08E-07,1.88E-11
1.00E-02,5.00E-02,1.00E+00,1.00E-01,5.50E-06,1.26E-02,5.93E-11,3.16E-25,5.01E-07,2.69E-11
1.00E-02,5.00E-02,1.00E+00,5.00E-01,5.54E-06,2.83E-02,1.33E-10,3.18E-25,5.00E-07,5.99E-11
1.00E-02,5.00E-02,1.00E+00,1.00E+00,5.48E-06,4.01E-02,1.88E-10,3.15E-25,5.00E-07,8.49E-11
1.00E-02,5.00E-02,1.00E+00,5.00E+00,5.52E-06,9.03E-02,4.16E-10,3.19E-25,5.07E-07,1.88E-10
1.00E-02,5.00E-02,5.00E+00,1.00E-02,1.39E-04,1.99E-02,5.84E-08,1.24E-19,1.24E-05,8.18E-05
1.00E-02,5.00E-02,5.00E+00,5.00E-02,1.37E-04,4.49E-02,1.31E-07,1.25E-19,1.24E-05,1.83E-04
1.00E-02,5.00E-02,5.00E+00,1.00E-01,1.39E-04,6.27E-02,1.86E-07,1.25E-19,1.27E-05,2.59E-04
1.00E-02,5.00E-02,5.00E+00,5.00E-01,1.38E-04,1.40E-01,4.17E-07,1.23E-19,1.27E-05,5.88E-04
1.00E-02,5.00E-02,5.00E+00,1.00E+00,1.37E-04,1.99E-01,5.84E-07,1.24E-19,1.25E-05,8.28E-04
1.00E-02,5.00E-02,5.00E+00,5.00E+00,1.37E-04,4.47E-01,1.32E-06,1.23E-19,1.25E-05,1.85E-03
1.00E-02,1.00E-01,1.00E-02,1.00E-02,1.09E-09,4.03E-05,2.66E-21,3.19E-41,9.90E-11,2.40E-31
1.00E-02,1.00E-01,1.00E-02,5.00E-02,1.11E-09,8.95E-05,5.94E-21,3.17E-41,1.01E-10,5.33E-31
1.00E-02,1.00E-01,1.00E-02,1.00E-01,1.10E-09,1.28E-04,8.42E-21,3.14E-41,1.02E-10,7.53E-31
1.00E-02,1.00E-01,1.00E-02,5.00E-01,1.10E-09,2.81E-04,1.88E-20,3.15E-41,1.01E-10,1.67E-30
1.00E-02,1.00E-01,1.00E-02,1.00E+00,1.11E-09,4.01E-04,2.65E-20,3.15E-41,1.01E-10,2.40E-30
1.00E-02,1.00E-01,1.00E-02,5.00E+00,1.09E-09,8.94E-04,5.94E-20,3.14E-41,9.84E-11,5.30E-30
